major_class_code,major_class_type,regression_class,modeling_group,reporting_group,reporting_class_code,class_code,class_desc,min_age,max_age,min_size,max_size
0,Exempt and Railroad,FALSE,,,EX,EX,Exempt property,,,,
0,Exempt and Railroad,FALSE,,,RR,RR,Railroad property,,,,
1,Vacant,FALSE,,,1,100,Vacant land,,,,
1,Vacant,FALSE,,,1,190,Minor improvement on vacant land,,,,
2,Residential,FALSE,,,2,200,Residential land,0,Infinity,0,Infinity
2,Residential,FALSE,,,2,201,Residential garage,0,Infinity,0,Infinity
2,Residential,TRUE,SF,Single-Family,2,202,"One story residence, any age, up to 999 sq. ft.",0,Infinity,0,999
2,Residential,TRUE,SF,Single-Family,2,203,"One story residence, any age, 1,000 to 1,800 sq. ft.",0,Infinity,1000,1800
2,Residential,TRUE,SF,Single-Family,2,204,"One story residence, any age, 1,801 sq. ft. and over",0,Infinity,1801,Infinity
2,Residential,TRUE,SF,Single-Family,2,205,"Two or more story residence, over 62 years, up to 2,200 sq. ft",63,Infinity,0,2200
2,Residential,TRUE,SF,Single-Family,2,206,"Two or more story residence, over 62 years, 2,201 to 4,999 sq. ft.",63,Infinity,2201,4999
2,Residential,TRUE,SF,Single-Family,2,207,"Two or more story residence, up to 62 years, up to 2,000 sq. ft.",0,62,0,2000
2,Residential,TRUE,SF,Single-Family,2,208,"Two or more story residence, up to 62 years, 3,801 to 4,999 sq. ft.",0,62,3801,4999
2,Residential,TRUE,SF,Single-Family,2,209,"Two or more story residence, any age, 5,000 sq. ft. and over",0,Infinity,5000,Infinity
2,Residential,TRUE,SF,Single-Family,2,210,"Old style townhouse, over 62 years",63,Infinity,0,Infinity
2,Residential,TRUE,MF,Multi-Family,2,211,"Apartment building with 2 to 6 units, any age",0,Infinity,0,Infinity
2,Residential,TRUE,MF,Multi-Family,2,212,"Two to six mixed-use apartments, any age, up to 20,000 sq. ft.",0,Infinity,0,20000
2,Residential,FALSE,,,2,213,Cooperative,0,Infinity,0,Infinity
